"","Date","Retail","Grocery and Pharmacy","Parks","Transit","Workplaces","Residential","Bus trips","Underground trips","DLR trips","Tram trips","Overground trips","Tfl rail trips","PRCP","TAVG","New cases","Total cases"
"256",2020-10-27,-32,-18,-9,-53,-55,18,3.18,1.2,0.15,0.04,0.26,0.07,0.02,49,2085,93582
"257",2020-10-28,-29,-15,15,-52,-53,18,3.18,1.2,0.15,0.04,0.26,0.07,0.05,50,1965,95547
"258",2020-10-29,-33,-15,-11,-53,-54,19,3.18,1.2,0.15,0.04,0.26,0.07,0.07,53,2009,97556
"259",2020-10-30,-31,-10,19,-47,-52,17,3.18,1.2,0.15,0.04,0.26,0.07,0.13,59,1872,99428
"260",2020-10-31,-39,-13,-14,-43,-16,8,3.18,1.2,0.15,0.04,0.26,0.07,0.01,56,1387,100815
"261",2020-11-01,-30,-14,0,-39,-14,5,3.18,1.2,0.15,0.04,0.26,0.07,0.28,58,1202,102017
"262",2020-11-02,-20,-9,19,-44,-45,14,3.18,1.2,0.15,0.04,0.26,0.07,0.02,57,2907,104924
"263",2020-11-03,-17,-9,10,-42,-44,14,3.18,1.2,0.15,0.04,0.26,0.07,0.13,46,2129,107053
"264",2020-11-04,-9,-6,30,-39,-42,12,3.18,1.2,0.15,0.04,0.26,0.07,0.09,43,2045,109098
"265",2020-11-05,-58,-16,14,-56,-52,21,3.18,1.2,0.15,0.04,0.26,0.07,0,41,2089,111187
"266",2020-11-06,-60,-13,16,-55,-51,22,3.18,1.2,0.15,0.04,0.26,0.07,0.01,43,2110,113297
"267",2020-11-07,-62,-16,41,-58,-34,14,3.18,1.2,0.15,0.04,0.26,0.07,0.01,49,1647,114944
"268",2020-11-08,-64,-23,29,-58,-36,12,3.18,1.2,0.15,0.04,0.26,0.07,0.01,53,1759,116703
"269",2020-11-09,-54,-18,27,-54,-52,20,3.18,1.2,0.15,0.04,0.26,0.07,0.08,55,3079,119782
"270",2020-11-10,-54,-14,33,-54,-52,20,3.18,1.2,0.15,0.04,0.26,0.07,0.27,54,2722,122504
"271",2020-11-11,-55,-15,15,-55,-51,21,3.18,1.2,0.15,0.04,0.26,0.07,0,52,2907,125411
"272",2020-11-12,-54,-11,32,-55,-52,21,3.18,1.2,0.15,0.04,0.26,0.07,0.26,51,2838,128249
"273",2020-11-13,-56,-9,24,-53,-51,21,3.18,1.2,0.15,0.04,0.26,0.07,0,51,2694,130943
"274",2020-11-14,-65,-19,-28,-60,-36,16,3.18,1.2,0.15,0.04,0.26,0.07,0.06,54,1919,132862
"275",2020-11-15,-63,-21,6,-58,-37,12,3.18,1.15,0.14,0.04,0.24,0.07,0.67,51,1798,134660
"276",2020-11-16,-54,-17,18,-54,-52,20,3.18,1.15,0.14,0.04,0.24,0.07,0.25,51,3064,137724
"277",2020-11-17,-54,-14,21,-54,-52,20,3.18,1.15,0.14,0.04,0.24,0.07,0.03,55,2558,140282
"278",2020-11-18,-55,-15,16,-55,-51,21,3.18,1.15,0.14,0.04,0.24,0.07,0,53,2451,142733
"279",2020-11-19,-56,-14,5,-56,-52,22,3.18,1.15,0.14,0.04,0.24,0.07,0.02,46,2178,144911
"280",2020-11-20,-58,-11,0,-54,-51,22,3.18,1.15,0.14,0.04,0.24,0.07,0.01,43,2106,147017
"281",2020-11-21,-61,-13,16,-55,-33,14,3.18,1.15,0.14,0.04,0.24,0.07,0.04,52,1476,148493
"282",2020-11-22,-59,-17,47,-54,-35,11,3.18,1.15,0.14,0.04,0.24,0.07,0.01,49,1479,149972
"283",2020-11-23,-52,-15,24,-54,-52,20,3.18,1.15,0.14,0.04,0.24,0.07,0.01,43,2384,152356
"284",2020-11-24,-53,-14,24,-54,-52,20,3.18,1.15,0.14,0.04,0.24,0.07,0,51,2145,154501
"285",2020-11-25,-55,-16,7,-55,-51,21,3.18,1.15,0.14,0.04,0.24,0.07,0.01,50,2236,156737
"286",2020-11-26,-54,-13,21,-55,-51,21,3.18,1.15,0.14,0.04,0.24,0.07,0,43,2063,158800
"287",2020-11-27,-55,-10,13,-53,-50,21,3.18,1.15,0.14,0.04,0.24,0.07,0,37,2193,160993
"288",2020-11-28,-59,-13,11,-54,-31,13,3.18,1.15,0.14,0.04,0.24,0.07,0.01,48,1637,162630
"289",2020-11-29,-60,-20,14,-55,-34,11,3.18,1.15,0.14,0.04,0.24,0.07,0,46,1651,164281
"290",2020-11-30,-50,-15,8,-53,-50,19,3.18,1.15,0.14,0.04,0.24,0.07,0,45,2690,166971
"291",2020-12-01,-51,-12,21,-53,-49,19,3.18,1.15,0.14,0.04,0.24,0.07,0,41,2446,169417
"292",2020-12-02,-33,-11,5,-49,-44,17,3.18,1.15,0.14,0.04,0.24,0.07,0,41,2788,172205
"293",2020-12-03,-38,-16,-21,-49,-45,18,3.18,1.15,0.14,0.04,0.24,0.07,0.02,41,2450,174655
"294",2020-12-04,-35,-7,-3,-45,-43,16,3.18,1.15,0.14,0.04,0.24,0.07,0.59,39,2922,177577
"295",2020-12-05,-33,-7,10,-38,-15,7,3.18,1.15,0.14,0.04,0.24,0.07,0,41,2273,179850
"296",2020-12-06,-36,-13,0,-40,-17,7,3.18,1.15,0.14,0.04,0.24,0.07,0,37,2420,182270
"297",2020-12-07,-31,-11,3,-48,-46,16,3.18,1.15,0.14,0.04,0.24,0.07,0.01,34,3705,185975
"298",2020-12-08,-32,-10,4,-48,-45,16,3.18,1.15,0.14,0.04,0.24,0.07,0.13,35,3697,189672
"299",2020-12-09,-33,-10,3,-49,-44,16,3.18,1.15,0.14,0.04,0.24,0.07,0.07,42,4412,194084
"300",2020-12-10,-33,-8,4,-48,-45,16,3.18,1.15,0.14,0.04,0.24,0.07,0,44,4994,199078
"301",2020-12-11,-35,-7,8,-44,-44,16,3.18,1.15,0.14,0.04,0.24,0.07,0.34,48,5472,204550
"302",2020-12-12,-37,-8,2,-39,-15,8,3.18,1.15,0.14,0.04,0.24,0.07,0,45,4660,209210
